ERROR 2025-05-15 23:02:56,639 custom_drug_service 20004 39144 Error creating custom drug: 'measurement_target'
INFO 2025-05-15 23:26:09,211 custom_drug_service 37500 15012 Custom drug created: Test Drug (ID: 26) by user None
INFO 2025-05-15 23:26:09,214 custom_drug_service 37500 15012 Custom drug deleted: Test Drug (ID: 26) by user None
INFO 2025-05-15 23:26:09,368 custom_drug_service 37500 15012 Custom drug created: Test Drug (ID: 27) by user None
INFO 2025-05-15 23:27:55,708 custom_drug_service 28988 38372 Custom drug created: Test Drug (ID: 30) by user None
ERROR 2025-05-15 23:27:55,840 custom_drug_service 28988 38372 Invalid species ID: 99999
INFO 2025-05-15 23:27:56,008 custom_drug_service 28988 38372 Custom drug created: Test Drug (ID: 31) by user None
INFO 2025-05-15 23:27:56,018 custom_drug_service 28988 38372 Custom drug updated: Updated Drug Name (ID: 31) by user None
INFO 2025-05-15 23:27:56,161 custom_drug_service 28988 38372 Custom drug created: Test Drug (ID: 32) by user None
INFO 2025-05-15 23:27:56,400 custom_drug_service 28988 38372 Custom drug created: Test Drug (ID: 33) by user None
INFO 2025-05-15 23:27:56,404 custom_drug_service 28988 38372 Custom drug deleted: Test Drug (ID: 33) by user None
INFO 2025-05-15 23:27:56,557 custom_drug_service 28988 38372 Custom drug created: Test Drug (ID: 34) by user None
INFO 2025-05-15 23:29:25,477 custom_drug_service 37228 860 Custom drug created: Test Drug (ID: 37) by user None
ERROR 2025-05-15 23:29:25,610 custom_drug_service 37228 860 Invalid species ID: 99999
INFO 2025-05-15 23:29:25,753 custom_drug_service 37228 860 Custom drug created: Test Drug (ID: 38) by user None
INFO 2025-05-15 23:29:25,764 custom_drug_service 37228 860 Custom drug updated: Updated Drug Name (ID: 38) by user None
INFO 2025-05-15 23:29:25,908 custom_drug_service 37228 860 Custom drug created: Test Drug (ID: 39) by user None
INFO 2025-05-15 23:29:26,164 custom_drug_service 37228 860 Custom drug created: Test Drug (ID: 40) by user None
INFO 2025-05-15 23:29:26,168 custom_drug_service 37228 860 Custom drug deleted: Test Drug (ID: 40) by user None
INFO 2025-05-15 23:29:26,463 custom_drug_service 37228 860 Custom drug created: Test Drug (ID: 41) by user None
INFO 2025-05-15 23:30:03,763 custom_drug_service 9456 28688 Custom drug created: Test Drug (ID: 44) by user None
ERROR 2025-05-15 23:30:03,891 custom_drug_service 9456 28688 Invalid species ID: 99999
INFO 2025-05-15 23:30:04,034 custom_drug_service 9456 28688 Custom drug created: Test Drug (ID: 45) by user None
INFO 2025-05-15 23:30:04,042 custom_drug_service 9456 28688 Custom drug updated: Updated Drug Name (ID: 45) by user None
INFO 2025-05-15 23:30:04,167 custom_drug_service 9456 28688 Custom drug created: Test Drug (ID: 46) by user None
INFO 2025-05-15 23:30:04,383 custom_drug_service 9456 28688 Custom drug created: Test Drug (ID: 47) by user None
INFO 2025-05-15 23:30:04,386 custom_drug_service 9456 28688 Custom drug deleted: Test Drug (ID: 47) by user None
INFO 2025-05-15 23:30:04,514 custom_drug_service 9456 28688 Custom drug created: Test Drug (ID: 48) by user None
INFO 2025-05-15 23:31:04,319 autoreload 36896 40080 Watching for file changes with StatReloader
